                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    123,                0.49593,                0.32974,                 0.8694,                0.98873,                0.98822,                0.99392,                0.93448,                0.38131,                0.25237,                0.81761,              0.0051688,              0.0051688,              0.0051688
                    124,                  0.495,                0.33011,                0.86933,                0.98769,                0.98539,                0.99376,                0.93269,                0.38181,                0.25011,                0.82031,              0.0051292,              0.0051292,              0.0051292
                    125,                0.48527,                0.32035,                0.86995,                0.98806,                0.98586,                0.99363,                0.93078,                0.38745,                0.24729,                0.81981,              0.0050896,              0.0050896,              0.0050896
                    126,                0.49287,                0.32006,                0.87243,                0.98912,                0.98575,                0.99365,                 0.9325,                 0.3837,                0.24848,                0.81753,                0.00505,                0.00505,                0.00505
                    127,                0.48915,                0.32243,                0.86959,                0.98682,                0.98795,                0.99361,                0.93164,                0.38217,                0.24807,                0.81882,              0.0050104,              0.0050104,              0.0050104
                    128,                 0.4949,                0.31994,                0.87597,                0.98777,                0.98998,                0.99403,                0.93211,                0.37894,                0.24694,                0.81734,              0.0049708,              0.0049708,              0.0049708
                    129,                0.49333,                0.32001,                0.87334,                0.99242,                0.98686,                0.99403,                0.93022,                0.38266,                0.24871,                0.81737,              0.0049312,              0.0049312,              0.0049312
                    130,                0.48614,                0.31742,                 0.8688,                0.99244,                0.98925,                0.99401,                0.92989,                0.38219,                0.24437,                0.81826,              0.0048916,              0.0048916,              0.0048916
                    131,                0.48816,                0.31752,                0.87111,                0.99054,                0.98738,                0.99396,                0.93423,                0.36908,                0.24252,                0.81564,               0.004852,               0.004852,               0.004852
                    132,                0.47927,                0.31786,                0.86441,                 0.9896,                0.98618,                0.99396,                0.93376,                0.37226,                0.24498,                0.81459,              0.0048124,              0.0048124,              0.0048124
                    133,                0.48146,                0.31656,                0.86758,                0.98958,                0.98539,                0.99355,                0.93238,                0.37936,                 0.2414,                0.81651,              0.0047728,              0.0047728,              0.0047728
